City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
171,lebu,100,CL,1586921326,70,-37.62,-73.65,55.45,1.99
172,cabedelo,40,BR,1586921359,94,-6.98,-34.83,77.0,2.24
173,carmen,22,MX,1586921601,78,18.63,-91.83,81.54,9.57
174,jishou,0,CN,1586921601,51,28.32,109.72,74.32,3.58
175,damietta,0,EG,1586921369,77,31.42,31.81,62.6,8.05
176,campbell river,40,CA,1586921556,48,50.02,-125.24,62.6,8.05
177,darasun,100,RU,1586921602,23,51.67,114.0,50.0,15.66
178,warrington,77,GB,1586921398,87,53.39,-2.58,42.8,2.24
179,prachuap khiri khan,100,TH,1586921566,57,11.82,99.78,87.42,3.96
180,yaan,26,NG,1586921604,72,7.38,8.57,80.87,10.42
181,iquique,10,CL,1586921604,64,-20.22,-70.14,68.0,3.36
182,geraldton,77,AU,1586921604,46,-28.77,114.6,73.4,18.34
183,akyab,0,MM,1586921605,59,20.15,92.9,83.84,5.79
184,tucuma,100,BR,1586921361,90,-0.18,-50.05,73.58,1.1
185,richards bay,100,ZA,1586921605,90,-28.78,32.04,66.15,6.13
186,yibin,0,CN,1586921606,37,28.77,104.62,77.18,2.17
187,albion,1,US,1586921606,63,42.24,-84.75,30.99,3.36
188,golubitskaya,100,RU,1586921606,44,45.32,37.28,59.0,15.66
189,mvuma,3,ZW,1586921606,50,-19.28,30.53,61.45,7.65
190,srednekolymsk,53,RU,1586921607,90,67.45,153.68,6.84,7.67
191,sinaloa,5,MX,1586921607,64,25.0,-107.5,71.01,4.7
192,blagoyevo,14,RU,1586921607,87,63.37,47.92,33.8,12.15
193,ribeira grande,72,PT,1586921607,66,38.52,-28.7,55.33,17.27
194,balaipungut,40,ID,1586921607,70,1.05,101.28,87.8,6.93
195,ponta do sol,20,PT,1586921608,58,32.67,-17.1,57.99,2.24
196,korla,89,CN,1586921608,16,41.76,86.15,70.27,13.96
197,cayenne,83,GF,1586921608,88,4.93,-52.33,77.0,5.28
198,castro,0,BR,1586921065,65,-24.79,-50.01,52.66,2.93
199,norwich,100,GB,1586921609,79,52.63,1.3,39.0,4.7
200,jumla,54,NP,1586921609,24,29.27,82.18,58.28,1.05
201,laukaa,88,RU,1586921609,96,58.74,29.85,31.8,7.38
202,abbeville,13,FR,1586921510,86,50.1,1.83,37.4,4.7
203,provideniya,90,RU,1586921609,96,64.38,-173.3,32.0,8.95
204,freeport,90,US,1586921610,66,40.66,-73.58,50.0,9.17
205,meulaboh,43,ID,1586921377,66,4.14,96.13,85.12,2.24
206,khatanga,53,RU,1586921611,90,71.97,102.5,3.47,4.16
207,lakes entrance,90,AU,1586921611,17,-37.88,147.98,86.0,11.99
208,machilipatnam,0,IN,1586921612,54,16.17,81.13,87.8,8.72
209,qianan,100,CN,1586921612,27,44.99,124.06,59.81,13.02
210,saint-leu,16,RE,1586921612,73,-21.15,55.28,75.2,5.82
211,beringovskiy,100,RU,1586921612,97,63.05,179.32,27.0,11.54
212,awjilah,92,LY,1586921613,20,29.11,21.29,73.31,17.52
213,vardo,20,NO,1586921613,89,70.37,31.11,35.6,16.11
214,aklavik,75,CA,1586921613,64,68.22,-135.01,35.6,4.7
215,upernavik,97,GL,1586921613,92,72.79,-56.15,20.41,4.32
216,alwar tirunagari,10,IN,1586921614,62,8.6,77.95,86.59,5.32
217,ostrovnoy,100,RU,1586921614,93,68.05,39.51,36.01,16.49
218,rocha,100,UY,1586921614,89,-34.48,-54.33,58.23,25.66
219,moron,0,AR,1586921614,81,-34.65,-58.62,57.2,5.82
220,carauari,100,BR,1586921615,95,-4.88,-66.9,74.77,2.13
221,christchurch,10,NZ,1586921402,50,-43.53,172.63,55.99,11.41
222,mayo,100,US,1586921615,75,38.89,-76.51,50.0,20.8
223,najran,40,SA,1586921615,77,17.49,44.13,69.8,3.94
224,pevek,27,RU,1586921332,91,69.7,170.31,13.5,2.48
225,makakilo city,1,US,1586921445,78,21.35,-158.09,80.6,9.17
226,wang saphung,98,TH,1586921616,58,17.3,101.77,87.01,2.24
227,terre haute,20,US,1586921552,59,39.47,-87.41,36.0,3.36
228,prince rupert,90,CA,1586921617,93,54.32,-130.32,46.4,5.82
229,tigil,99,RU,1586921617,94,57.8,158.67,25.25,8.23
